Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
0.0,60.0,0.0,0.0,0,0.0
0.309030167,60.0,0.299,0.0,0,4.881888253
0.619703246,60.0,0.873,0.247,0,19.20991079
0.93019178,60.0,1.07,0.625,0,36.74860355
1.24087728,60.0,1.596,0.26,0,62.93775718
1.550029245,60.0,1.094,0.889,0,80.79986141
1.86071226,60.0,1.333,0.563,0,102.6608577
2.17139776,60.0,0.677,0.004,0,113.7666525
2.48208326,60.0,0.49,0.0,0,121.7981914
2.79276876,60.0,-0.862,0.0,0,107.6644091
3.10345426,60.0,-0.024,0.0,0,107.2707622
3.41413976,60.0,0.562,0.0,0,116.4834166
3.72482526,60.0,-1.687,0.0,0,88.80631859
4.03551076,60.0,-1.363,0.312,0,66.45379882
4.346063901,60.0,-1.365,0.572,0,44.06919771
4.656349856,60.0,-1.023,0.857,0,27.30214892
4.966289096,60.0,-1.036,0.879,0,10.35451464
5.276921785,60.0,-0.675,0.438,0,-0.718263183
5.587004554,60.0,-0.089,0.207,0,-2.170050768
5.897290509,60.0,0.164,0.067,0,0.520161402
6.206640065,60.0,-0.088,1.122,0,-0.922674541
6.517325565,60.0,-0.028,0.26,0,-1.386987613
6.828011065,60.0,0.391,0.0,0,5.030426505
7.138696565,60.0,0.895,0.051,0,19.71650986
7.449204347,60.0,0.001,0.467,0,19.7298357
7.759885504,60.0,0.779,0.279,0,32.50867469
8.070010522,60.0,0.621,0.607,0,42.6704443
8.380696022,60.0,0.184,0.332,0,45.68792726
8.691239226,60.0,0.212,0.212,0,49.16163385
9.0019179,60.0,0.864,0.596,0,63.33160609
9.31195842,60.0,-0.086,0.955,0,61.91699954
9.622549466,60.0,0.92,0.371,0,77.01204159
9.933234966,60.0,1.469,0.151,0,101.1072631
10.24326119,60.0,1.112,0.821,0,119.3113603
10.55346576,60.0,1.106,1.466,0,137.4323502
10.86317011,60.0,0.102,1.274,0,139.1018752
11.17385498,60.0,-0.759,0.391,0,126.6538537
11.48454048,60.0,-0.793,0.038,0,113.6519285
11.79515079,60.0,1.111,0.681,0,131.8654838
12.10539636,60.0,-0.723,1.005,0,120.0177119
12.4151001,60.0,-1.368,1.152,0,97.65451478
12.72576944,60.0,-1.499,1.177,0,73.06939603
13.03467906,60.0,-0.617,0.979,0,63.00903026
13.34536456,60.0,1.127,0.582,0,81.49844426
13.65605006,60.0,0.605,0.0,0,91.41984824
13.96673556,60.0,-0.026,0.0,0,90.98685758
14.27742106,60.0,0.075,0.206,0,92.21192554
14.58755604,60.0,0.067,0.852,0,93.314941
14.89796254,55.82767233,-0.352,1.833,0,87.5525629
15.20716235,59.38299483,-0.016,1.62,0,87.28697946
15.51692698,50.71409245,1.009,2.222,0,103.795016
15.82580118,52.84157671,1.037,2.046,0,120.7119896
16.13647735,60.0,1.185,0.646,0,140.1572766
16.4457051,60.0,1.09,0.293,0,157.9462266
16.75573629,60.0,0.781,0.077,0,170.7235935
17.06591786,60.0,0.732,1.27,0,182.7065843
17.37634488,59.17271935,1.085,1.632,0,200.4866088
17.68293058,47.95657781,1.243,2.485,0,220.6061806
17.99338181,60.0,-0.315,1.485,0,215.4363973
18.30406731,60.0,-0.681,0.07,0,204.2710617
18.61475095,60.0,-1.254,0.58,0,183.7038677
18.92467404,60.0,-1.144,1.226,0,164.9817437
19.23338918,60.0,-0.785,1.399,0,152.1784568
19.54407405,60.0,-0.579,0.991,0,142.6831666
19.85410027,60.0,-1.143,1.038,0,123.9708854
20.1626874,58.39655358,-0.847,1.676,0,110.1632903
20.47336855,60.0,-1.112,0.876,0,91.91611271
20.78405405,60.0,-0.462,0.222,0,84.33540602
21.09356951,60.0,0.086,1.04,0,85.74176928
21.40425005,60.0,0.46,1.193,0,93.29566756
21.71282289,60.0,-2.285,1.43,0,56.06763826
22.02279071,54.88735295,2.723,1.897,1,100.628568
22.33344016,60.0,1.316,0.361,0,122.2119731
22.64133074,57.03356691,0.91,1.757,0,137.007961
22.95185655,60.0,0.291,1.305,0,141.7747546
23.26254205,60.0,1.075,0.056,0,159.4171008
23.57322755,60.0,-0.574,0.0,0,150.0076578
23.88391305,60.0,-0.629,0.0,0,139.6927028
24.19459855,60.0,-0.062,0.313,0,138.6796186
24.50443526,60.0,-0.02,0.889,0,138.3537855
24.81511083,60.0,1.212,0.651,0,158.2361896
25.1256298,60.0,0.547,0.736,0,167.2010382
25.43589711,60.0,-1.54,0.812,0,141.9735577
25.74658261,60.0,-1.481,0.186,0,117.6711485
26.05721094,60.0,-1.354,0.405,0,95.4699886
26.36732354,54.45595935,-0.605,1.927,0,85.5671568
26.67422426,54.94461277,0.115,1.893,0,87.43311842
26.98314756,60.0,-0.333,1.149,0,81.99380762
27.28854829,56.79868039,2.6,1.771,1,123.9159556
27.59263298,60.0,1.134,0.734,0,142.1193196
27.90331351,60.0,1.29,0.07,0,163.2765465
28.20994768,54.66499083,1.108,1.912,0,181.219303
28.52063255,60.0,0.85,0.959,0,195.1630061
28.83131805,60.0,0.869,0.0,0,209.4152258
29.14200355,60.0,0.704,0.009,0,220.9579875
29.45267972,60.0,0.061,0.511,0,221.9506629
29.7627569,60.0,0.419,0.72,0,228.8157197
30.0734424,60.0,1.222,0.217,0,248.8687313
30.3841279,60.0,1.466,0.0,0,272.9239702
30.6948134,60.0,0.967,0.0,0,288.7902412
31.0054989,60.0,-0.369,0.115,0,282.7390973
31.31571651,59.13860249,0.136,1.634,0,284.9685597
31.6226862,50.98693832,0.725,2.198,0,296.7180001
31.9333717,60.0,0.643,0.655,0,307.2733886
32.2440572,60.0,-0.07,0.0,0,306.1316781
32.5547427,60.0,-0.876,0.003,0,291.7639965
32.86542138,60.0,-1.298,0.562,0,270.4745057
33.17496978,60.0,-1.003,1.132,0,254.0788572
33.48564286,60.0,0.157,0.577,0,256.6591535
33.79632836,60.0,0.852,0.009,0,270.642422
34.10701386,60.0,1.157,0.0,0,289.6187951
34.41769936,60.0,-0.004,0.607,0,289.5456393
34.72505181,58.9107847,1.066,1.647,0,306.8518363
35.03572613,60.0,0.94,1.032,0,322.2704654
35.34641163,60.0,0.176,0.01,0,325.1522604
35.65709713,60.0,0.679,0.753,0,336.2961109
35.96421285,58.40015312,0.28,1.675,0,340.8285572
36.27489835,60.0,-0.257,0.904,0,336.6187279
36.58558385,60.0,-0.295,0.0,0,331.7762098
36.89626935,60.0,-0.962,0.0,0,315.9888132
37.20695485,60.0,-0.438,0.818,0,308.7982506
37.51358777,51.51979992,0.113,2.153,0,310.6287756
37.82418069,60.0,0.588,1.344,0,320.2692374
38.13486619,60.0,-0.209,0.037,0,316.8334944
38.44555169,60.0,-0.425,0.0,0,309.8649928
38.75623719,60.0,-0.488,0.13,0,301.857059
39.06657969,60.0,0.047,0.469,0,302.6196094
39.37726457,60.0,-0.31,0.342,0,297.5346004
39.68795007,60.0,-1.332,0.003,0,275.6869097
39.99863557,60.0,-0.053,0.0,0,274.8208853
40.30932107,60.0,0.806,0.0,0,288.0493349
40.62000657,60.0,1.328,0.871,0,309.83713
40.92692345,58.20786107,1.155,1.687,0,328.5505813
41.23760709,60.0,0.168,0.798,0,331.3051021
41.54829259,60.0,-0.136,0.46,0,329.0689367
41.85787391,60.0,-1.347,1.045,0,307.054223
42.16845005,60.0,-1.294,1.446,0,285.8300305
42.47862603,60.0,-0.618,0.555,0,275.7151855
42.78689315,50.88816773,1.497,2.207,0,300.0769477
43.09336576,44.75357257,1.643,2.853,0,326.6630377
43.40404815,60.0,0.379,0.049,0,332.8828789
43.71305656,60.0,1.023,1.206,0,349.5754223
44.02374206,60.0,0.766,0.311,0,362.1433004
44.33442756,60.0,-0.648,0.898,0,351.5120694
44.64316754,60.0,-1.348,1.2,0,329.5380108
44.95385304,60.0,-1.33,0.295,0,307.7227558
45.26453854,60.0,-1.0,0.168,0,291.3200011
45.57516812,60.0,-0.688,0.224,0,280.0394641
45.88583621,60.0,-0.327,0.136,0,274.6744061
46.19652171,60.0,0.813,0.081,0,288.0060096
46.50720721,60.0,0.931,0.056,0,303.2864965
46.81773862,60.0,0.782,1.091,0,316.1134874
