,Dist(mi)	SpdLim(mph)	Grade(%)	Curve(Doc)	Catenary(Y/N)
0,0.0	60.0	0.0	0.0	0
1,0.3090301667239435	60.0	0.34905979161691425	0.0	0
2,0.6197032461390245	60.0	1.0190500179310962	0.246604615	0
3,0.9301917801690813	60.0	1.2481435031473587	0.624543137	0
4,1.2408772801690813	60.0	1.862573182232	0.260235897	0
5,1.5500292445567672	60.0	1.276654781272517	0.889268302	0
6,1.8607122604397834	60.0	1.554766970235522	0.563477915	0
7,2.1713977604397834	60.0	0.7898443698879999	0.004364248	0
8,2.4820832604397833	60.0	0.57120322	5.75e-05	0
9,2.7927687604397833	60.0	-1.005194904	9.1e-05	0
10,3.1034542604397832	60.0	-0.0279961808	6.82e-05	0
11,3.414139760439783	60.0	0.6552041888	7.53e-05	0
12,3.724825260439783	60.0	-1.9683958224	7.46e-05	0
13,4.0355107604397835	60.0	-1.5897116979519998	0.312291108	0
14,4.346063900525372	60.0	-1.5926718419513948	0.571791396	0
15,4.656349855616968	60.0	-1.1940083868488571	0.856943482	0
16,4.966289096005323	60.0	-1.208218236015296	0.878608203	0
17,5.276921784751977	60.0	-0.7876300859020956	0.43764221	0
18,5.587004554136332	60.0	-0.10345186181770027	0.20663006	0
19,5.897290509227928	60.0	0.19157431533092875	0.066656233	0
20,6.206640065368291	60.0	-0.10305767073039368	1.122424196	0
21,6.517325565368291	60.0	-0.033021955904000005	0.260322216	0
22,6.828011065368291	60.0	0.456406633256	0.000118451	0
23,7.138696565368291	60.0	1.044474571168	0.051331628	0
24,7.449204346613621	60.0	0.0009482769543468636	0.467191074	0
25,7.759885504162389	60.0	0.908844012791286	0.279133935	0
26,8.070010522487284	60.0	0.7240114068679003	0.606545621	0
27,8.380696022487284	60.0	0.214603453848	0.332204533	0
28,8.691239226104937	60.0	0.24716329249934088	0.211705709	0
29,9.00191789953672	60.0	1.0077908810278857	0.595883401	0
30,9.311958419918396	60.0	-0.1008161419782393	0.955432596	0
31,9.622549466493291	60.0	1.073886200950886	0.37082206	0
32,9.933234966493291	60.0	1.7136526845759998	0.150939796	0
33,10.243261189003986	60.0	1.2974289527852223	0.820952723	0
34,10.553465756052084	60.0	1.2907632668534101	1.465934002	0
35,10.863170105029374	60.0	0.11911281295102105	1.274321696	0
36,11.17385497924664	60.0	-0.8853053475899205	0.391008566	0
37,11.48454047924664	60.0	-0.9246972024079999	0.037549957	0
38,11.795150791988624	60.0	1.2956620099732854	0.681388293	0
39,12.105396356473928	60.0	-0.8438086440488607	1.004747777	0
40,12.4151000986203	60.0	-1.5955128520185304	1.152372284	0
41,12.72576944235293	60.0	-1.7485851166795703	1.176950726	0
42,13.034679062978599	60.0	-0.7196067096948241	0.978927063	0
43,13.345364562978599	60.0	1.3149675305199997	0.581563545	0
44,13.656050062978599	60.0	0.705610469984	0.000186964	0
45,13.966735562978599	60.0	-0.030794305864	0.000101681	0
46,14.277421062978599	60.0	0.08712686068799999	0.205836798	0
47,14.587556036785383	60.0	0.0785857352522654	0.852340386	0
48,14.897962538037392	55.82767232714957	-0.4101888105686774	1.83342399	0
49,15.207162345444457	59.382994833077454	-0.018979057903857503	1.620457923	0
50,15.516926976977862	50.71409245464469	1.177542146832156	2.221798326	0
51,15.825801175231208	52.84157671381652	1.2101909688566928	2.046493717	0
52,16.13647734559419	60.0	1.3829907638362362	0.645541916	0
53,16.445705104070814	60.0	1.2711146068574666	0.293349903	0
54,16.755736294815474	60.0	0.9106444540568972	0.077424136	0
55,17.06591786007617	60.0	0.8536151406840183	1.270463723	0
56,17.376344878998598	59.172719345524904	1.2655686431491482	1.631995267	0
57,17.682930578173703	47.95657781259217	1.4500390843583386	2.484652073	0
58,17.993381812483232	60.0	-0.36795255139844774	1.485493234	0
59,18.304067312483234	60.0	-0.7940789089520001	0.070019483	0
60,18.61475095414898	60.0	-1.4627480435307743	0.579658927	0
61,18.924674038332103	60.0	-1.33479342380881	1.225903552	0
