Spd(fps)	Diesel	BioDiesel	DieHyb	BioHyb	HydHyb	BatLoco	BatTend	HydTend
0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
10	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
20	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
30	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
40	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
50	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
60	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
70	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
80	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
90	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
100	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
110	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
