Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	1	224.8	78.2	6	129.0332745045595	0.029811904150516527	0.0024238621211324996	188.32	109.4	2307.64	0	0	2205.86	0	2704.5
2	1	205.1	72.5	6	113.14430253495799	0.030310572296090337	0.0023575668321066975	199.05	97.5	2441.17	0	0	2261.6	0	2443.3
3	1	227.2	68.1	6	117.00007305393416	0.03243257330543634	0.002635471565564383	222.65	104.5	2318.94	0	0	2280.65	0	2593.6
4	11	20.6	3.6	4	170.7976356500298	0.048996859522055874	0.0004552749317893245	0	0	0	0	0	0	0	0
5	12	133.6	4.4	4	96.53094326067732	0.04545569278144063	0.0005194119499659226	0	0	0	0	0	0	0	0
6	12	154.2	3.6	4	100.2136697437447	0.04273162583787913	0.0005049968536694456	0	0	0	0	0	0	0	0
7	11	109.5	3.9	4	145.78008866465672	0.041397756109401086	0.0004572636380712824	0	0	0	0	0	0	0	0
8	12	35.2	3.7	4	110.26708540527851	0.04576424467889944	0.000531840532705584	0	0	0	0	0	0	0	0
9	12	35.8	3.9	4	111.80875085417219	0.047383215701317996	0.0004784842057301253	0	0	0	0	0	0	0	0
10	11	118	4.1	4	147.53967795863093	0.04392103918676487	0.0005270648828539882	0	0	0	0	0	0	0	0
11	12	150.6	3.8	4	104.02441985946395	0.040730306717917095	0.0004718649763785852	0	0	0	0	0	0	0	0
12	11	111.2	4.2	4	161.32127986798207	0.045474418780773254	0.0005385534985922222	0	0	0	0	0	0	0	0
13	11	117.1	4.4	4	172.11728472345868	0.0457409434259125	0.00047146358501333604	0	0	0	0	0	0	0	0
14	11	109.7	3.7	4	170.50453110883637	0.04590839407979594	0.0004606608166973697	0	0	0	0	0	0	0	0
15	12	150.8	4.1	4	107.67110370294924	0.04519529341385393	0.00047126460066533317	0	0	0	0	0	0	0	0
16	12	136.7	3.7	4	106.76185273263286	0.04803172815534199	0.0004825056521386775	0	0	0	0	0	0	0	0
17	11	114.4	3.7	4	161.6000379755653	0.04224688286263627	0.0005030931839048675	0	0	0	0	0	0	0	0
18	12	138.9	4	4	97.267821558068	0.041219585335913245	0.00048517502361507844	0	0	0	0	0	0	0	0
19	11	108.7	3.9	4	156.38771974963402	0.049130151490891796	0.00047826835410025493	0	0	0	0	0	0	0	0
20	11	109.7	4	4	167.08863049691456	0.04642899758413858	0.0005293348772313752	0	0	0	0	0	0	0	0
21	11	116.1	4.3	4	146.50876939435904	0.04188380651595299	0.0005115643830282919	0	0	0	0	0	0	0	0
22	11	114.3	3.7	4	175.59319683773893	0.04449296685934576	0.0004763419577723532	0	0	0	0	0	0	0	0
23	13	152.4	4.3	4	106.37464794938053	0.04798767571623268	0.00042575140621050787	0	0	0	0	0	0	0	0
24	11	110.6	3.9	4	153.3923494003455	0.048489088852399345	0.0005063547737782425	0	0	0	0	0	0	0	0
25	11	102.1	4.3	4	171.18897300971003	0.047133614291009214	0.0004680122387072843	0	0	0	0	0	0	0	0
26	13	152.1	4	4	101.8984151812192	0.040704719536181454	0.00039077932959477113	0	0	0	0	0	0	0	0
27	13	129.7	3.7	4	97.77166068617994	0.04865307406752759	0.00044859646260979726	0	0	0	0	0	0	0	0
28	11	22.2	3.8	4	154.61292832517532	0.04842779973696206	0.0005348326537543578	0	0	0	0	0	0	0	0
29	11	119.6	3.8	4	167.0851695880192	0.0431718363157239	0.0005137611941091469	0	0	0	0	0	0	0	0
30	14	151.7	3.9	4	116.10215914894897	0.043612658002746565	0.0005422604288436757	0	0	0	0	0	0	0	0
31	14	133	4	4	103.9436030630141	0.0432088142179728	0.0005069164696756125	0	0	0	0	0	0	0	0
32	11	115.5	3.9	4	170.95810938013386	0.0443767138771001	0.00053533310036204	0	0	0	0	0	0	0	0
33	11	22.7	3.8	4	172.54356356382246	0.04122181281704249	0.0004744674854056878	0	0	0	0	0	0	0	0
34	11	111.1	4	4	167.92940779124447	0.04072996614578738	0.00045833135446168936	0	0	0	0	0	0	0	0
35	11	104.2	3.6	4	146.88214244859805	0.04119425146386544	0.0004637454074552839	0	0	0	0	0	0	0	0
36	11	103.8	3.6	4	161.6768220432279	0.041967369711897566	0.0005051245542668224	0	0	0	0	0	0	0	0
37	11	22.2	3.9	4	152.35833847809363	0.04077517796856795	0.0004949196914988509	0	0	0	0	0	0	0	0
38	11	116.8	3.7	4	171.78640893204124	0.04412303646168079	0.0005026095896320079	0	0	0	0	0	0	0	0
39	11	113.7	3.8	4	145.32715762051578	0.04589371293306525	0.0005290999718289915	0	0	0	0	0	0	0	0
40	11	120.8	4.1	4	163.96150389962145	0.04651832919632577	0.00046906348319418256	0	0	0	0	0	0	0	0
41	11	109.2	3.7	4	149.7634702159853	0.040516543040191456	0.0004898061223177535	0	0	0	0	0	0	0	0
42	11	114.1	4.4	4	154.67799392009618	0.044826983496074786	0.0004891259294944011	0	0	0	0	0	0	0	0
43	12	152.2	4	4	99.45578743277493	0.04440838932929114	0.0004916222369166985	0	0	0	0	0	0	0	0
44	12	130.8	4.1	4	109.79927351307305	0.047415715338988466	0.0004940056893856994	0	0	0	0	0	0	0	0
45	11	21.5	3.7	4	149.53957340704363	0.045237849841833745	0.000543107510710789	0	0	0	0	0	0	0	0
46	12	149.8	4.3	4	112.06649468579721	0.04821440275340133	0.0005021088243210983	0	0	0	0	0	0	0	0
47	11	103.4	3.7	4	165.22435359209706	0.048342795641073646	0.0004964435137757133	0	0	0	0	0	0	0	0
48	11	104	3.8	4	145.05484359953175	0.04460134294804381	0.00045322223949373694	0	0	0	0	0	0	0	0
49	11	114.7	3.9	4	166.50671563110077	0.04641540963794647	0.0004984673830546439	0	0	0	0	0	0	0	0
50	11	23	3.9	4	160.34213327512526	0.044116248842471964	0.0005282365802259524	0	0	0	0	0	0	0	0
51	1	199.9	67.9	6	120.37960182531799	0.03239629139048923	0.0023261275645670245	190.5	116.6	2556.46	0	0	2592.91	0	2526.9
