energy_system_scenario,freight_demand_scenario,year,region,technology,train_energy_consumption,train_energy_consumption_unit,energy_consumption_at_the_well (GJ),upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
Reference/business as usual,Agricultural Reduction,2025.0,california,battery,3191013581.162596,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,california,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,california,catenary,4381106373.042044,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,california,diesel,648079612.8719137,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,california,hydrogen,281739376.88244134,kgH2,0.0,13.7,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,central,battery,2759376964.7399845,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,central,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,central,catenary,3367636897.7271667,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,central,diesel,625688349.3172054,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,central,hydrogen,270449508.80192304,kgH2,0.0,13.1,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,middle_atlantic,battery,3803932515.649183,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,middle_atlantic,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,middle_atlantic,catenary,4585359520.637332,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,middle_atlantic,diesel,894428580.1845787,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,middle_atlantic,hydrogen,358095687.1618286,kgH2,0.0,14.3,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,north_central,battery,2776130710.360139,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_central,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_central,catenary,3154561144.35028,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_central,diesel,712366398.2117497,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_central,hydrogen,166338525.46146417,kgH2,0.0,10.8,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,north_east,battery,1074215150.647287,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_east,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_east,catenary,1303052694.2275245,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_east,diesel,271908087.0593549,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_east,hydrogen,76136072.69962421,kgH2,0.0,15.0,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,north_west,battery,930653124.9050606,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_west,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_west,catenary,1155271174.2524304,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,north_west,diesel,226759675.10655293,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,north_west,hydrogen,79510252.45011076,kgH2,0.0,15.4,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,south_east,battery,3155876041.1648374,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_east,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_east,catenary,3936449450.739904,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_east,diesel,746207141.6829004,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_east,hydrogen,280276144.0714251,kgH2,0.0,15.1,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,south_west,battery,580026787.3079474,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_west,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_west,catenary,702801335.2756845,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_west,diesel,144301846.74776614,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_west,hydrogen,46474626.93361418,kgH2,0.0,10.5,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,texas,battery,1978600018.1681008,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
