energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Baseline,2025,california,biodiesel,4.773061846,$/gallon
Reference/business as usual,Baseline,2025,central,biodiesel,6.550151125,$/gallon
Reference/business as usual,Baseline,2025,middle_atlantic,biodiesel,9.636318407,$/gallon
Reference/business as usual,Baseline,2025,north_east,biodiesel,9.211664713,$/gallon
Reference/business as usual,Baseline,2025,north_west,biodiesel,4.7728244,$/gallon
Reference/business as usual,Baseline,2025,north_central,biodiesel,6.55016449,$/gallon
Reference/business as usual,Baseline,2025,south_east,biodiesel,8.828532058,$/gallon
Reference/business as usual,Baseline,2025,south_west,biodiesel,4.77276939,$/gallon
Reference/business as usual,Baseline,2025,texas,biodiesel,8.423691205,$/gallon
Reference/business as usual,Baseline,2025,california,hydrogen,-0.174320686,$/kgH2
Reference/business as usual,Baseline,2025,central,hydrogen,-1.181506603,$/kgH2
Reference/business as usual,Baseline,2025,middle_atlantic,hydrogen,-1.843235991,$/kgH2
Reference/business as usual,Baseline,2025,north_east,hydrogen,-0.445855106,$/kgH2
Reference/business as usual,Baseline,2025,north_west,hydrogen,-1.745418703,$/kgH2
Reference/business as usual,Baseline,2025,north_central,hydrogen,-1.07218421,$/kgH2
Reference/business as usual,Baseline,2025,south_east,hydrogen,-1.8273056,$/kgH2
Reference/business as usual,Baseline,2025,south_west,hydrogen,-0.84010463,$/kgH2
Reference/business as usual,Baseline,2025,texas,hydrogen,-1.146985266,$/kgH2
Reference/business as usual,Baseline,2025,california,diesel,3.455801631,$/gallon
Reference/business as usual,Baseline,2025,central,diesel,2.631046044,$/gallon
Reference/business as usual,Baseline,2025,middle_atlantic,diesel,2.989290291,$/gallon
Reference/business as usual,Baseline,2025,north_east,diesel,2.857539581,$/gallon
Reference/business as usual,Baseline,2025,north_west,diesel,2.784667546,$/gallon
Reference/business as usual,Baseline,2025,north_central,diesel,2.631046044,$/gallon
Reference/business as usual,Baseline,2025,south_east,diesel,2.738693699,$/gallon
Reference/business as usual,Baseline,2025,south_west,diesel,2.784667546,$/gallon
Reference/business as usual,Baseline,2025,texas,diesel,2.613080568,$/gallon
Reference/business as usual,Baseline,2025,california,battery,0.155310934,$/kWh
Reference/business as usual,Baseline,2025,central,battery,0.093804563,$/kWh
Reference/business as usual,Baseline,2025,middle_atlantic,battery,0.088024399,$/kWh
Reference/business as usual,Baseline,2025,north_east,battery,0.193702286,$/kWh
Reference/business as usual,Baseline,2025,north_west,battery,0.122941133,$/kWh
Reference/business as usual,Baseline,2025,north_central,battery,0.098181276,$/kWh
Reference/business as usual,Baseline,2025,south_east,battery,0.083028367,$/kWh
Reference/business as usual,Baseline,2025,south_west,battery,0.096532912,$/kWh
Reference/business as usual,Baseline,2025,texas,battery,0.080103328,$/kWh
Reference/business as usual,Baseline,2025,california,catenary,0.155310934,$/kWh
Reference/business as usual,Baseline,2025,central,catenary,0.093804563,$/kWh
Reference/business as usual,Baseline,2025,middle_atlantic,catenary,0.088024399,$/kWh
Reference/business as usual,Baseline,2025,north_east,catenary,0.193702286,$/kWh
Reference/business as usual,Baseline,2025,north_west,catenary,0.122941133,$/kWh
Reference/business as usual,Baseline,2025,north_central,catenary,0.098181276,$/kWh
Reference/business as usual,Baseline,2025,south_east,catenary,0.083028367,$/kWh
Reference/business as usual,Baseline,2025,south_west,catenary,0.096532912,$/kWh
Reference/business as usual,Baseline,2025,texas,catenary,0.080103328,$/kWh
Reference/business as usual,Baseline,2030,california,biodiesel,3.739709275,$/gallon
Reference/business as usual,Baseline,2030,central,biodiesel,5.132263444,$/gallon
Reference/business as usual,Baseline,2030,middle_atlantic,biodiesel,7.641701912,$/gallon
Reference/business as usual,Baseline,2030,north_east,biodiesel,7.370400388,$/gallon
Reference/business as usual,Baseline,2030,north_west,biodiesel,3.739778619,$/gallon
Reference/business as usual,Baseline,2030,north_central,biodiesel,5.132263043,$/gallon
Reference/business as usual,Baseline,2030,south_east,biodiesel,7.00508176,$/gallon
Reference/business as usual,Baseline,2030,south_west,biodiesel,3.739715419,$/gallon
Reference/business as usual,Baseline,2030,texas,biodiesel,6.733973209,$/gallon
Reference/business as usual,Baseline,2030,california,hydrogen,0.595594817,$/kgH2
Reference/business as usual,Baseline,2030,central,hydrogen,-0.015955767,$/kgH2
