energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_locomotives,number_of_tender_cars,locomotive_hours,tender_hours,cost_per_locomotive ($),cost_per_tender ($),cost_per_locomotive_hour ($),cost_per_tender_hour ($)
Reference/business as usual,Agricultural Reduction,2025,california,battery,226.6283455384616,291.37930140659347,240740.50078444555,550264.0017930183,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,california,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,california,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,california,diesel,377.7139092307693,0.0,401234.1679740759,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,california,hydrogen,151.08556369230774,194.25286760439568,160493.66718963036,366842.6678620123,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,central,battery,792.2192616923077,1018.5676221758242,841550.7836751273,1923544.648400291,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,central,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,central,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,central,diesel,1320.365436153846,0.0,1402584.6394585455,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,central,hydrogen,528.1461744615385,679.0450814505496,561033.8557834184,1282363.0989335277,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,battery,628.0801656923078,807.5316416043958,667190.7402504623,1525007.4062867707,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,diesel,1046.8002761538462,0.0,1111984.5670841036,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,hydrogen,418.7201104615385,538.3544277362638,444793.8268336415,1016671.6041911804,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,north_central,battery,1600.3155526153848,2057.548567648352,1699967.2597635456,3885639.450888104,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,north_central,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,north_central,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
