Reg,Tech,TrnLen,eTrn,ebtMin,eDie,eBio,eHyd,eBat,eCat,eRcv
CA,Diesel,50 Cars,42.763466,0,42.763466,0,0,0,0,0
CA,Diesel,100 Cars,43.038353,0,43.038353,0,0,0,0,0
CA,Diesel,150 Cars,38.1408,0,38.1408,0,0,0,0,0
CA,BioDie,50 Cars,40.112144,0,0,40.112144,0,0,0,0
CA,BioDie,100 Cars,40.050816,0,0,40.050816,0,0,0,0
CA,BioDie,150 Cars,39.84899,0,0,39.84899,0,0,0,0
CA,DieHyb,50 Cars,17.563408,0.11044568,21.65035,0,0,0,8.057196,5.5635214
CA,DieHyb,100 Cars,13.952323,0.008989504,20.668589,0,0,0,4.4061985,5.63431
CA,DieHyb,150 Cars,14.750069,-0.15022269,23.17577,0,0,0,5.2724767,5.31313
CA,BioHyb,50 Cars,17.392143,0.21802661,0,22.341894,0,0,7.6145763,5.708596
CA,BioHyb,100 Cars,13.88586,0.025566436,0,20.486706,0,0,4.3837543,5.5940604
CA,BioHyb,150 Cars,13.573496,0.014055384,0,15.688796,0,0,4.123124,5.4583573
CA,HydHyb,50 Cars,17.237385,0.23527206,0,0,18.693083,0,7.572529,4.402442
CA,HydHyb,100 Cars,13.940641,0.11283748,0,0,17.331123,0,4.443925,4.438638
CA,HydHyb,150 Cars,14.712097,-0.09700429,0,0,18.809513,0,5.2215104,4.123505
CA,Bat,50 Cars,16.38699,0.6146155,0,0,0,4.1976957,6.8878584,5.713945
CA,Bat,100 Cars,14.024437,0.56388307,0,0,0,4.0599732,4.6687827,5.499985
CA,Bat,150 Cars,13.641583,0.54684645,0,0,0,4.072291,4.289826,5.3999815
CEN,Diesel,50 Cars,31.774689,0,31.774689,0,0,0,0,0
CEN,Diesel,100 Cars,31.043806,0,31.043806,0,0,0,0,0
CEN,Diesel,150 Cars,31.004993,0,31.004993,0,0,0,0,0
CEN,BioDie,50 Cars,32.786953,0,0,32.786953,0,0,0,0
CEN,BioDie,100 Cars,32.066364,0,0,32.066364,0,0,0,0
CEN,BioDie,150 Cars,30.689634,0,0,30.689634,0,0,0,0
CEN,DieHyb,50 Cars,11.370959,-1.1673247,24.240164,0,0,0,1.2617012,5.7784214
CEN,DieHyb,100 Cars,11.186299,-0.7926052,23.538898,0,0,0,1.098185,5.992991
CEN,DieHyb,150 Cars,10.91864,-0.943328,22.55222,0,0,0,1.0537654,5.64416
CEN,BioHyb,50 Cars,11.594992,-1.018492,0,24.301441,0,0,1.2197461,5.942114
CEN,BioHyb,100 Cars,11.182034,-0.78647697,0,23.769596,0,0,1.1014675,5.962552
CEN,BioHyb,150 Cars,10.993228,-0.7234453,0,23.411556,0,0,1.0495676,5.8580356
CEN,HydHyb,50 Cars,11.463774,-0.9892783,0,0,21.049955,0,1.1932272,4.4240065
CEN,HydHyb,100 Cars,11.184476,-0.6686913,0,0,19.476845,0,1.1379045,4.4993234
CEN,HydHyb,150 Cars,10.973236,-0.88484806,0,0,20.3219,0,1.0424066,4.156127
CEN,Bat,50 Cars,11.460891,-0.08364889,0,0,0,4.5048094,1.2537148,5.993089
CEN,Bat,100 Cars,11.104594,0.0482854,0,0,0,4.337774,1.154396,5.8318257
CEN,Bat,150 Cars,10.965311,0.14065455,0,0,0,4.3340406,1.0804803,5.765425
MID_AT,Diesel,50 Cars,31.921139,0,31.921139,0,0,0,0,0
MID_AT,Diesel,100 Cars,31.210342,0,31.210342,0,0,0,0,0
MID_AT,Diesel,150 Cars,30.925577,0,30.925577,0,0,0,0,0
MID_AT,BioDie,50 Cars,33.02275,0,0,33.02275,0,0,0,0
MID_AT,BioDie,100 Cars,32.25538,0,0,32.25538,0,0,0,0
MID_AT,BioDie,150 Cars,30.690775,0,0,30.690775,0,0,0,0
MID_AT,DieHyb,50 Cars,11.545388,-1.0667017,25.099451,0,0,0,0.83367926,6.1992846
MID_AT,DieHyb,100 Cars,11.418339,-0.69145,26.323057,0,0,0,0.75436676,6.1129217
MID_AT,DieHyb,150 Cars,11.044027,-0.83814955,25.729593,0,0,0,0.7132712,5.689719
