Reg,Tech,trnLen,eDie,eBio,eHyd,eBat,eCat
CA,Diesel,50 Cars,128.08852,0,0,0,-35.194447
CA,Diesel,100 Cars,119.58085,0,0,0,-36.19574
CA,Diesel,150 Cars,118.12886,0,0,0,-35.389027
CA,BioDie,50 Cars,0,128.08852,0,0,-35.194447
CA,BioDie,100 Cars,0,119.58085,0,0,-36.19574
CA,BioDie,150 Cars,0,118.12886,0,0,-35.389027
CA,DieHyb,50 Cars,132.82162,0,0,0,-4.906423
CA,DieHyb,100 Cars,128.52989,0,0,0,-5.0028725
CA,DieHyb,150 Cars,122.87829,0,0,0,-4.818122
CA,BioHyb,50 Cars,0,132.82162,0,0,-4.906423
CA,BioHyb,100 Cars,0,128.52989,0,0,-5.0028725
CA,BioHyb,150 Cars,0,122.87829,0,0,-4.818122
CA,HydHyb,50 Cars,0,0,106.99511,0,-3.0648885
CA,HydHyb,100 Cars,0,0,161.60722,0,-1.0668736
CA,HydHyb,150 Cars,0,0,100.064644,0,-2.952684
CA,Bat,50 Cars,0,0,0,65.315125,26.498138
CA,Bat,100 Cars,0,0,0,60.647964,23.5068
CA,Bat,150 Cars,0,0,0,58.230263,22.338095
CEN,Diesel,50 Cars,88.82466,0,0,0,-35.194447
CEN,Diesel,100 Cars,87.67161,0,0,0,-36.19574
CEN,Diesel,150 Cars,84.84684,0,0,0,-35.389027
CEN,BioDie,50 Cars,0,88.82466,0,0,-35.194447
CEN,BioDie,100 Cars,0,87.67161,0,0,-36.19574
CEN,BioDie,150 Cars,0,84.84684,0,0,-35.389027
CEN,DieHyb,50 Cars,94.04999,0,0,0,-6.4443197
CEN,DieHyb,100 Cars,92.794655,0,0,0,-6.369531
CEN,DieHyb,150 Cars,90.04074,0,0,0,-6.179906
CEN,BioHyb,50 Cars,0,94.04999,0,0,-6.4443197
CEN,BioHyb,100 Cars,0,92.794655,0,0,-6.369531
CEN,BioHyb,150 Cars,0,90.04074,0,0,-6.179906
CEN,HydHyb,50 Cars,0,0,75.63173,0,-4.1270423
CEN,HydHyb,100 Cars,0,0,115.81217,0,-3.5062497
CEN,HydHyb,150 Cars,0,0,72.71276,0,-3.9874575
CEN,Bat,50 Cars,0,0,0,40.854855,12.223869
CEN,Bat,100 Cars,0,0,0,39.644054,10.97552
CEN,Bat,150 Cars,0,0,0,37.716686,10.177401
MID_AT,Diesel,50 Cars,83.17072,0,0,0,-35.194447
MID_AT,Diesel,100 Cars,83.83315,0,0,0,-36.19574
MID_AT,Diesel,150 Cars,81.85635,0,0,0,-35.389027
MID_AT,BioDie,50 Cars,0,83.17072,0,0,-35.194447
MID_AT,BioDie,100 Cars,0,83.83315,0,0,-36.19574
MID_AT,BioDie,150 Cars,0,81.85635,0,0,-35.389027
MID_AT,DieHyb,50 Cars,84.04251,0,0,0,-6.0496664
MID_AT,DieHyb,100 Cars,83.997475,0,0,0,-6.189675
MID_AT,DieHyb,150 Cars,81.70891,0,0,0,-5.9781284
MID_AT,BioHyb,50 Cars,0,84.04251,0,0,-6.0496664
MID_AT,BioHyb,100 Cars,0,83.997475,0,0,-6.189675
MID_AT,BioHyb,150 Cars,0,81.70891,0,0,-5.9781284
MID_AT,HydHyb,50 Cars,0,0,67.64957,0,-3.8957982
MID_AT,HydHyb,100 Cars,0,0,101.18119,0,-3.409169
MID_AT,HydHyb,150 Cars,0,0,65.96794,0,-3.7900372
MID_AT,Bat,50 Cars,0,0,0,36.781036,10.428268
MID_AT,Bat,100 Cars,0,0,0,36.59568,9.740377
MID_AT,Bat,150 Cars,0,0,0,35.22354,9.237332
N_CEN,Diesel,50 Cars,69.4402,0,0,0,-35.194447
N_CEN,Diesel,100 Cars,71.11793,0,0,0,-36.19574
N_CEN,Diesel,150 Cars,69.771484,0,0,0,-35.389027
N_CEN,BioDie,50 Cars,0,69.4402,0,0,-35.194447
N_CEN,BioDie,100 Cars,0,71.11793,0,0,-36.19574
N_CEN,BioDie,150 Cars,0,69.771484,0,0,-35.389027
N_CEN,DieHyb,50 Cars,48.18932,0,0,0,-4.2063003
N_CEN,DieHyb,100 Cars,49.265526,0,0,0,-4.300265
N_CEN,DieHyb,150 Cars,48.2349,0,0,0,-4.108919
N_CEN,BioHyb,50 Cars,0,48.18932,0,0,-4.2063003
N_CEN,BioHyb,100 Cars,0,49.265526,0,0,-4.300265
N_CEN,BioHyb,150 Cars,0,48.2349,0,0,-4.108919
N_CEN,HydHyb,50 Cars,0,0,38.77374,0,-2.8001416
N_CEN,HydHyb,100 Cars,0,0,46.06299,0,-2.300849
N_CEN,HydHyb,150 Cars,0,0,38.869938,0,-2.678555
N_CEN,Bat,50 Cars,0,0,0,27.68825,5.622979
N_CEN,Bat,100 Cars,0,0,0,28.590172,5.4806275
N_CEN,Bat,150 Cars,0,0,0,28.024038,5.363586
NE,Diesel,50 Cars,75.43611,0,0,0,-35.194447
NE,Diesel,100 Cars,76.87311,0,0,0,-36.19574
NE,Diesel,150 Cars,75.24591,0,0,0,-35.389027
NE,BioDie,50 Cars,0,75.43611,0,0,-35.194447
NE,BioDie,100 Cars,0,76.87311,0,0,-36.19574
NE,BioDie,150 Cars,0,75.24591,0,0,-35.389027
NE,DieHyb,50 Cars,58.344955,0,0,0,-4.0731883
NE,DieHyb,100 Cars,59.328835,0,0,0,-4.1723475
NE,DieHyb,150 Cars,58.173813,0,0,0,-3.999493
NE,BioHyb,50 Cars,0,58.344955,0,0,-4.0731883
NE,BioHyb,100 Cars,0,59.328835,0,0,-4.1723475
