,energy_system_scenario,oil_prices,renewables_prices,hydrogen_subsidies,region,year,energy_price,technology,energy_price_unit,upstream_CO2_emission_factor,CO2_emission_factor_unit
0,50% CO2 reduction by 2050,High,Advanced,No,california,2025,1.858100031,Biodiesel,$/Gallon,2.4,kgCO2/gallon
1,50% CO2 reduction by 2050,High,Advanced,No,california,2030,3.739946437,Biodiesel,$/Gallon,2.4,kgCO2/gallon
2,50% CO2 reduction by 2050,High,Advanced,No,california,2035,2.930243302,Biodiesel,$/Gallon,2.4,kgCO2/gallon
3,50% CO2 reduction by 2050,High,Advanced,No,california,2040,2.295927417,Biodiesel,$/Gallon,2.4,kgCO2/gallon
4,50% CO2 reduction by 2050,High,Advanced,No,california,2045,1.798919459,Biodiesel,$/Gallon,2.4,kgCO2/gallon
5,50% CO2 reduction by 2050,High,Advanced,No,california,2050,1.409491271,Biodiesel,$/Gallon,2.4,kgCO2/gallon
6,50% CO2 reduction by 2050,High,Advanced,No,central,2025,6.550209972,Biodiesel,$/Gallon,2.4,kgCO2/gallon
7,50% CO2 reduction by 2050,High,Advanced,No,central,2030,5.132261694,Biodiesel,$/Gallon,2.4,kgCO2/gallon
8,50% CO2 reduction by 2050,High,Advanced,No,central,2035,4.021260679,Biodiesel,$/Gallon,2.4,kgCO2/gallon
9,50% CO2 reduction by 2050,High,Advanced,No,central,2040,3.157486207,Biodiesel,$/Gallon,2.4,kgCO2/gallon
10,50% CO2 reduction by 2050,High,Advanced,No,central,2045,2.557926653,Biodiesel,$/Gallon,2.4,kgCO2/gallon
11,50% CO2 reduction by 2050,High,Advanced,No,central,2050,2.057081803,Biodiesel,$/Gallon,2.4,kgCO2/gallon
12,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2025,6.5502103,Biodiesel,$/Gallon,2.4,kgCO2/gallon
13,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2030,8.495496871,Biodiesel,$/Gallon,2.4,kgCO2/gallon
14,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2035,4.441675651,Biodiesel,$/Gallon,2.4,kgCO2/gallon
15,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2040,3.157486211,Biodiesel,$/Gallon,2.4,kgCO2/gallon
16,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2045,3.979261164,Biodiesel,$/Gallon,2.4,kgCO2/gallon
17,50% CO2 reduction by 2050,High,Advanced,No,middle_atlantic,2050,4.502933959,Biodiesel,$/Gallon,2.4,kgCO2/gallon
18,50% CO2 reduction by 2050,High,Advanced,No,north_east,2025,13.97110015,Biodiesel,$/Gallon,2.4,kgCO2/gallon
19,50% CO2 reduction by 2050,High,Advanced,No,north_east,2030,11.07662925,Biodiesel,$/Gallon,2.4,kgCO2/gallon
20,50% CO2 reduction by 2050,High,Advanced,No,north_east,2035,9.014108294,Biodiesel,$/Gallon,2.4,kgCO2/gallon
21,50% CO2 reduction by 2050,High,Advanced,No,north_east,2040,7.250479978,Biodiesel,$/Gallon,2.4,kgCO2/gallon
22,50% CO2 reduction by 2050,High,Advanced,No,north_east,2045,6.140302212,Biodiesel,$/Gallon,2.4,kgCO2/gallon
23,50% CO2 reduction by 2050,High,Advanced,No,north_east,2050,5.098211431,Biodiesel,$/Gallon,2.4,kgCO2/gallon
24,50% CO2 reduction by 2050,High,Advanced,No,north_west,2025,4.772872536,Biodiesel,$/Gallon,2.4,kgCO2/gallon
25,50% CO2 reduction by 2050,High,Advanced,No,north_west,2030,3.739670985,Biodiesel,$/Gallon,2.4,kgCO2/gallon
26,50% CO2 reduction by 2050,High,Advanced,No,north_west,2035,2.930129582,Biodiesel,$/Gallon,2.4,kgCO2/gallon
27,50% CO2 reduction by 2050,High,Advanced,No,north_west,2040,2.295835531,Biodiesel,$/Gallon,2.4,kgCO2/gallon
28,50% CO2 reduction by 2050,High,Advanced,No,north_west,2045,1.798872519,Biodiesel,$/Gallon,2.4,kgCO2/gallon
