year,technology,station_energy_use_per_day (MWh/day),operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_M_cost ($/year)
2030,battery,92,11902.84,120715.2,10038887,1003889
2030,battery,202,25689.94,265579.2,16737841,1673784
2030,battery,394,50024.42,517145.76,21868692,2186869
2030,battery,580,73718.55,762092.64,29690508,2969051
2030,battery,767,97428.88,1007206.56,33458412,3345841
2030,battery,953,121156.69,1252501.92,35939894,3593989
2030,battery,1146,145612.76,1505325.6,40403018,4040302
2030,battery,1345,170964.42,1767407.04,45501767,4550177
2030,battery,1537,195321.81,2019211.2,47325467,4732547
2030,hydrogen,96,5.2582824,126198.7776,28000680,2800068
2030,hydrogen,185,10.150812,243619.488,56001360,5600136
2030,hydrogen,388,21.2357376,509657.7024,64001564,6400156
2030,hydrogen,582,31.849524,764388.576,88002222,8800222
2030,hydrogen,773,42.3078768,1015389.043,84002131,8400213
2030,hydrogen,953,52.1971128,1252730.707,92002381,9200238
2030,hydrogen,1155,63.2434824,1517843.578,80002041,8000204
