,energy_system_scenario,freight_demand_scenario,year,region,technology,CO2_carbon_intensity (g CO2/ton-mile),CH4_carbon_intensity (g CH4/ton-mile),CO2eq_carbon_intensity (g CO2eq/ton-mile)
0,Reference/business as usual,Agricultural Reduction,2025,california,battery,186.18666523392886,0.4654666630848222,200.05757179385657
1,Reference/business as usual,Agricultural Reduction,2025,california,battery,186.18666523392886,0.4654666630848222,200.05757179385657
2,Reference/business as usual,Agricultural Reduction,2025,california,biodiesel,0.0,0.0,0.0
3,Reference/business as usual,Agricultural Reduction,2025,california,catenary,186.18666523392884,0.46546666308482204,200.05757179385654
4,Reference/business as usual,Agricultural Reduction,2025,california,diesel,336.23390404653,0.4276205548899458,348.97699658225037
5,Reference/business as usual,Agricultural Reduction,2025,california,hydrogen,375.33666177638565,0.8493019354064202,400.64585945149696
6,Reference/business as usual,Agricultural Reduction,2025,california,hydrogen,375.33666177638565,0.8493019354064202,400.64585945149696
7,Reference/business as usual,Agricultural Reduction,2025,central,battery,48.60223631707512,0.12150559079268779,52.223102922697215
8,Reference/business as usual,Agricultural Reduction,2025,central,battery,48.60223631707512,0.12150559079268779,52.223102922697215
9,Reference/business as usual,Agricultural Reduction,2025,central,biodiesel,0.0,0.0,0.0
10,Reference/business as usual,Agricultural Reduction,2025,central,catenary,48.602236317075125,0.12150559079268783,52.22310292269722
11,Reference/business as usual,Agricultural Reduction,2025,central,diesel,87.7706233244477,0.11162622863827194,91.0970849378682
12,Reference/business as usual,Agricultural Reduction,2025,central,hydrogen,93.68701348928083,0.2217020929899012,100.29373586037988
13,Reference/business as usual,Agricultural Reduction,2025,central,hydrogen,93.68701348928083,0.2217020929899012,100.29373586037988
14,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,battery,63.84349811761347,0.21281166039204488,70.18528559729641
15,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,battery,63.84349811761347,0.21281166039204488,70.18528559729641
16,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,biodiesel,0.0,0.0,0.0
17,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,catenary,63.843498117613485,0.21281166039204494,70.18528559729643
18,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,diesel,153.72635910383582,0.19550839516795532,159.55250927984088
19,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,hydrogen,179.11967620024728,0.38830139595857804,190.6910577998129
