FraNode,MyNode,nDups,Lon,Lat
300535,1,3,-124.20388,43.35779
300539,2,1,-124.197486,43.357039
300542,3,1,-124.18547,43.17077
300545,4,3,-124.180833,43.576216
300549,5,3,-124.168526,43.579137
300597,6,3,-124.037068,43.928053
300598,7,3,-124.033676,43.927221
300599,8,3,-124.033289,43.991399
300600,9,3,-124.02015,43.99899
300604,10,1,-123.944005,44.623507
300613,11,1,-123.917206,46.981637
300629,12,1,-123.882672,47.002171
300630,13,3,-123.882623,46.972741
300638,14,3,-123.861867,44.018597
300641,15,3,-123.859962,44.031342
300645,16,3,-123.857364,46.97151
300686,17,3,-123.83334,46.966878
300696,18,1,-123.821202,46.189863
300733,19,1,-123.800841,45.424906
300736,20,1,-123.774425,46.970328
300740,21,3,-123.763511,46.976627
300741,22,3,-123.76334,46.97881
300745,23,3,-123.75885,46.97675
300785,24,1,-123.55297,45.063111
300886,25,3,-123.403748,47.00781
300893,26,3,-123.39869,47.0068
300898,27,3,-123.396148,47.00877
301030,28,1,-123.316377,44.915422
301083,29,1,-123.283259,47.240726
301110,30,3,-123.268666,44.560943
301112,31,1,-123.268347,44.557008
301113,32,3,-123.268016,44.557649
301125,33,3,-123.266031,44.561475
301129,34,3,-123.258229,44.577183
301131,35,3,-123.254198,44.586056
301134,36,3,-123.25074,44.58464
301154,37,3,-123.213717,44.921753
301155,38,3,-123.213426,44.92114
301159,39,3,-123.211963,44.918089
301160,40,3,-123.210079,44.920045
301192,41,1,-123.203289,44.920706
301218,42,3,-123.200047,45.155669
301220,43,3,-123.199802,45.152502
301225,44,3,-123.197923,45.15189
301253,45,1,-123.187557,45.467842
301324,46,3,-123.166255,44.374713
301468,47,1,-123.134779,46.59042
301480,48,3,-123.132789,44.061855
301551,49,3,-123.125809,44.060338
301589,50,3,-123.121316,44.060289
301599,51,3,-123.119581,44.064034
301602,52,1,-123.11922,44.054294
301628,53,1,-123.110532,44.058605
301629,54,3,-123.109389,45.616455
301654,55,3,-123.108231,44.368286
301686,56,3,-123.103648,45.610318
301696,57,3,-123.102775,45.609059
301697,58,1,-123.102669,45.52221
301725,59,3,-123.09916,47.2085
301739,60,3,-123.098055,47.207189
301752,61,3,-123.096705,44.633584
