yNum,Yard,nLinks,State,OneNode,Lon,Lat,include
1,12TH STREET,3,MO,374765,-94.605093,39.086233,TRUE
2,14TH ST,1,IL,414686,-87.637037,41.859032,TRUE
3,14TH ST COACH,1,IL,414657,-87.638626,41.878621,TRUE
4,17TH STREET,1,IL,402939,-89.190205,37.014645,TRUE
5,19TH STREET,1,MO,374778,-94.60412,39.08719,TRUE
6,1TH ST,1,IL,415592,-87.557955,41.703118,TRUE
7,22ND ST,1,IL,413541,-87.739902,41.864174,TRUE
8,22ND STREET YARD,1,CA,325944,-117.158722,32.706179,TRUE
9,23rd STREET,1,MO,394733,-90.235142,38.629342,TRUE
10,26TH ST,1,IL,414843,-87.625649,41.491234,TRUE
11,28TH STREET,3,IA,364064,-96.392114,42.493638,TRUE
12,65TH STREET,2,NY,489844,-74.026172,40.640288,TRUE
13,8TH AVENUE,3,TX,357875,-97.353515,32.700883,TRUE
14,8TH STREET YARD,1,NE,366354,-95.915978,41.228148,TRUE
15,9TH STREET YARD (UP),1,TX,358460,-97.321273,32.747018,TRUE
16,ABERDEEN,1,SD,352304,-98.49813,45.465669,TRUE
17,ADAMS ST,1,IL,400579,-89.654949,40.673086,TRUE
18,ADDIS,1,LA,388609,-91.531513,30.503252,TRUE
19,AIRLINE YARD,1,WI,411612,-87.957423,42.996913,TRUE
20,ALBANY,2,GA,434681,-84.151626,31.586419,TRUE
21,ALBANY YARD,4,OR,301654,-123.108231,44.368286,TRUE
22,"Albany, NY - Mechanicville",1,NY,491114,-73.735926,42.920959,TRUE
23,ALBINA YARD,1,OR,304311,-122.708032,45.568047,TRUE
24,"Albuquerque, NM",2,NM,338727,-106.617666,35.175605,TRUE
25,ALBUQUERQUE-ABAJO,1,NM,338727,-106.617666,35.175605,TRUE
26,ALEXANDRIA,2,LA,385261,-92.434482,31.250628,TRUE
27,ALFALFA,1,TX,340024,-105.357638,31.175957,TRUE
28,"Alliance, TX",3,TX,354409,-97.942887,32.93523,TRUE
29,ALTOONA,1,PA,470478,-78.402938,40.513366,TRUE
30,ALTURAS YARD,1,CA,315657,-120.537123,41.329702,TRUE
31,AMARILLO,23,TX,346539,-101.826707,35.210466,TRUE
32,AMORY,1,MS,407672,-88.482646,33.974747,TRUE
33,ANCHORAGE,2,LA,389816,-91.213249,30.482676,TRUE
34,ANDOVOER,1,VA,443067,-82.785074,36.983932,TRUE
35,APM Termianls Pacific (Berths 4-46),1,CA,321254,-118.238997,33.731678,TRUE
36,Appalachian Regional Port (ARP),2,GA,430624,-84.736893,34.988098,TRUE
37,"Arcadia, WI",3,WI,388378,-91.595558,43.873897,TRUE
38,ARGO,1,IL,413038,-87.821529,41.780367,TRUE
39,ARGO Yard,3,WA,307602,-122.336823,47.553137,TRUE
40,ARKANSAS CITY,1,OK,360030,-97.039469,36.998983,TRUE
41,ARMOURDALE,1,KS,374421,-94.632146,39.090826,TRUE
42,ARTESIA,2,MS,406424,-88.643926,33.404118,TRUE
43,ASHBY,1,IN,417771,-87.347352,38.333707,TRUE
44,ASHTABULA,1,OH,453414,-81.140273,41.756902,TRUE
45,ATKINSON NORTH,1,KY,416165,-87.493852,37.363226,TRUE
46,"Atlanta, GA - Austell",3,GA,429062,-85.148501,33.719851,TRUE
47,"Atlanta, GA - Hulsey",1,GA,432845,-84.420685,33.724179,TRUE
48,"Atlanta, GA - Inman",3,GA,432520,-84.463715,33.798314,TRUE
49,ATWOOD,1,MI,438090,-83.540544,42.526929,TRUE
50,AUBURN YARD,3,WA,309220,-122.231937,47.299076,TRUE
51,AUGUSTA (NS),1,GA,447692,-81.97802,33.45479,TRUE
52,AVONDALE,1,MO,375008,-94.579062,39.122459,TRUE
53,AVONDALE (UP),1,LA,394609,-90.243313,29.932478,TRUE
54,"Ayer, MA",3,MA,493527,-71.801346,42.301752,TRUE
