energy_system_scenario,freight_demand_scenario,year,region,technology,train_energy_consumption,train_energy_consumption_unit,energy_consumption_at_the_well (GJ),upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
Reference/business as usual,Agricultural Shift,2025,california,diesel,43777304,gallon,5972344,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,california,hydrogen,49771408,kgH2,5972569,12.1,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2025,california,biodiesel,47349796,gallon,5972344,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,california,catenary,1659046926,kWh,5972569,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,california,battery,1659046926,kWh,5972569,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,central,diesel,105996225,gallon,14460597,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,central,hydrogen,120509506,kgH2,14461141,12.5,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2025,central,biodiesel,114646155,gallon,14460597,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,central,catenary,4016983540,kWh,14461141,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,central,battery,4016983540,kWh,14461141,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,diesel,92541187,gallon,12624986,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,hydrogen,105212169,kgH2,12625460,14.0,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,biodiesel,100093105,gallon,12624986,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,catenary,3507072301,kWh,12625460,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,battery,3507072301,kWh,12625460,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,north_central,diesel,192046186,gallon,26200014,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,north_central,hydrogen,218341655,kgH2,26200999,13.2,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Shift,2025,north_central,biodiesel,207718312,gallon,26200014,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Shift,2025,north_central,catenary,7278055151,kWh,26200999,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,north_central,battery,7278055151,kWh,26200999,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Shift,2025,north_east,diesel,12387286,gallon,1689943,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
