energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Agricultural Shift,2025,california,diesel,2.81655492,$/gallon
Reference/business as usual,Agricultural Shift,2025,california,hydrogen,4.713839819,$/kgH2
Reference/business as usual,Agricultural Shift,2025,california,biodiesel,5.061918404,$/gallon
Reference/business as usual,Agricultural Shift,2025,california,catenary,0.144986339,$/kWh
Reference/business as usual,Agricultural Shift,2025,california,battery,0.144986339,$/kWh
Reference/business as usual,Agricultural Shift,2025,central,diesel,1.950827825,$/gallon
Reference/business as usual,Agricultural Shift,2025,central,hydrogen,3.642572533,$/kgH2
Reference/business as usual,Agricultural Shift,2025,central,biodiesel,6.96680872,$/gallon
Reference/business as usual,Agricultural Shift,2025,central,catenary,0.119070964,$/kWh
Reference/business as usual,Agricultural Shift,2025,central,battery,0.119070964,$/kWh
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,diesel,2.329434279,$/gallon
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,hydrogen,3.916334496,$/kgH2
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,biodiesel,10.41175112,$/gallon
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,catenary,0.118894303,$/kWh
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,battery,0.118894303,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_central,diesel,1.950827825,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_central,hydrogen,3.687245232,$/kgH2
Reference/business as usual,Agricultural Shift,2025,north_central,biodiesel,6.97117206,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_central,catenary,0.119050725,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_central,battery,0.119050725,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_east,diesel,2.186648076,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_east,hydrogen,4.43027883,$/kgH2
Reference/business as usual,Agricultural Shift,2025,north_east,biodiesel,9.856367718,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_east,catenary,0.158916585,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_east,battery,0.158916585,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_west,diesel,1.930175648,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_west,hydrogen,3.820635096,$/kgH2
Reference/business as usual,Agricultural Shift,2025,north_west,biodiesel,5.074676987,$/gallon
Reference/business as usual,Agricultural Shift,2025,north_west,catenary,0.076198644,$/kWh
Reference/business as usual,Agricultural Shift,2025,north_west,battery,0.076198644,$/kWh
Reference/business as usual,Agricultural Shift,2025,south_east,diesel,2.06192555,$/gallon
Reference/business as usual,Agricultural Shift,2025,south_east,hydrogen,3.741049536,$/kgH2
Reference/business as usual,Agricultural Shift,2025,south_east,biodiesel,9.441102659,$/gallon
Reference/business as usual,Agricultural Shift,2025,south_east,catenary,0.117378406,$/kWh
Reference/business as usual,Agricultural Shift,2025,south_east,battery,0.117378406,$/kWh
Reference/business as usual,Agricultural Shift,2025,south_west,diesel,1.930175648,$/gallon
Reference/business as usual,Agricultural Shift,2025,south_west,hydrogen,3.742748463,$/kgH2
Reference/business as usual,Agricultural Shift,2025,south_west,biodiesel,5.090748502,$/gallon
Reference/business as usual,Agricultural Shift,2025,south_west,catenary,0.131270129,$/kWh
Reference/business as usual,Agricultural Shift,2025,south_west,battery,0.131270129,$/kWh
Reference/business as usual,Agricultural Shift,2025,texas,diesel,2.007646511,$/gallon
Reference/business as usual,Agricultural Shift,2025,texas,hydrogen,3.202830692,$/kgH2
Reference/business as usual,Agricultural Shift,2025,texas,biodiesel,9.019140245,$/gallon
Reference/business as usual,Agricultural Shift,2025,texas,catenary,0.145047583,$/kWh
Reference/business as usual,Agricultural Shift,2025,texas,battery,0.145047583,$/kWh
Reference/business as usual,Agricultural Shift,2030,california,diesel,3.206199252,$/gallon
Reference/business as usual,Agricultural Shift,2030,california,hydrogen,2.885276873,$/kgH2
Reference/business as usual,Agricultural Shift,2030,california,biodiesel,4.02467905,$/gallon
Reference/business as usual,Agricultural Shift,2030,california,catenary,0.13481004,$/kWh
Reference/business as usual,Agricultural Shift,2030,california,battery,0.13481004,$/kWh
