energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_O&M_cost ($/year)
Reference/business as usual,Agricultural Shift,2025,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,california,hydrogen,46,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,california,battery,39,7167083,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,central,hydrogen,43,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,central,battery,54,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,hydrogen,53,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,battery,45,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_central,hydrogen,38,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,north_central,battery,43,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_east,hydrogen,39,2028007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,north_east,battery,48,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_west,hydrogen,43,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,north_west,battery,44,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_east,hydrogen,55,8176796,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,south_east,battery,43,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_west,hydrogen,44,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,south_west,battery,38,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,texas,hydrogen,49,15179882,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2025,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2025,texas,battery,56,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,california,hydrogen,53,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,california,battery,38,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,central,hydrogen,44,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,central,battery,38,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,hydrogen,55,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,battery,52,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,hydrogen,45,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_central,battery,50,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,hydrogen,56,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_east,battery,51,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,hydrogen,50,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_west,battery,51,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,hydrogen,43,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,south_east,battery,48,8176796,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,hydrogen,55,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,south_west,battery,39,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,hydrogen,46,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,texas,battery,47,15179882,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,hydrogen,55,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,california,battery,49,7167083,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,hydrogen,51,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,catenary,0,0,14461141,460833.7237,4550000000
