energy_system_scenario,freight_demand_scenario,year,region,technology,freight_ton_mile_travel
Reference/business as usual,Agricultural Shift,2025,california,diesel,160000000000.0
Reference/business as usual,Agricultural Shift,2025,california,hydrogen,162000000000.0
Reference/business as usual,Agricultural Shift,2025,california,biodiesel,175000000000.0
Reference/business as usual,Agricultural Shift,2025,california,catenary,148000000000.0
Reference/business as usual,Agricultural Shift,2025,california,battery,195000000000.0
Reference/business as usual,Agricultural Shift,2025,central,diesel,188000000000.0
Reference/business as usual,Agricultural Shift,2025,central,hydrogen,207000000000.0
Reference/business as usual,Agricultural Shift,2025,central,biodiesel,157000000000.0
Reference/business as usual,Agricultural Shift,2025,central,catenary,165000000000.0
Reference/business as usual,Agricultural Shift,2025,central,battery,173000000000.0
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,diesel,203000000000.0
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,hydrogen,168000000000.0
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,biodiesel,160000000000.0
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,catenary,184000000000.0
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,battery,194000000000.0
Reference/business as usual,Agricultural Shift,2025,north_central,diesel,155000000000.0
Reference/business as usual,Agricultural Shift,2025,north_central,hydrogen,212000000000.0
Reference/business as usual,Agricultural Shift,2025,north_central,biodiesel,210000000000.0
Reference/business as usual,Agricultural Shift,2025,north_central,catenary,153000000000.0
Reference/business as usual,Agricultural Shift,2025,north_central,battery,157000000000.0
Reference/business as usual,Agricultural Shift,2025,north_east,diesel,202000000000.0
Reference/business as usual,Agricultural Shift,2025,north_east,hydrogen,192000000000.0
Reference/business as usual,Agricultural Shift,2025,north_east,biodiesel,168000000000.0
Reference/business as usual,Agricultural Shift,2025,north_east,catenary,200000000000.0
Reference/business as usual,Agricultural Shift,2025,north_east,battery,184000000000.0
Reference/business as usual,Agricultural Shift,2025,north_west,diesel,188000000000.0
Reference/business as usual,Agricultural Shift,2025,north_west,hydrogen,175000000000.0
Reference/business as usual,Agricultural Shift,2025,north_west,biodiesel,163000000000.0
