energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_locomotives,number_of_tender_cars,locomotive_hours,tender_hours,cost_per_locomotive ($),cost_per_tender ($),cost_per_locomotive_hour ($),cost_per_tender_hour ($)
Reference/business as usual,Agricultural Shift,2025,california,diesel,2526,0,11059,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,california,hydrogen,2908,2908,12731,12731,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,california,biodiesel,3115,0,13637,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,california,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,california,battery,2481,7443,10862,32585,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,central,diesel,2552,0,11173,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,central,hydrogen,2694,2694,11794,11794,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,central,biodiesel,2912,0,12749,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,central,battery,2991,8973,13095,39284,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,diesel,2474,0,10831,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,hydrogen,2199,2199,9627,9627,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,biodiesel,3067,0,13427,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,middle_atlantic,battery,2854,8562,12495,37484,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_central,diesel,2322,0,10166,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_central,hydrogen,3141,3141,13751,13751,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_central,biodiesel,3097,0,13559,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_central,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_central,battery,2468,7404,10805,32415,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_east,diesel,2356,0,10315,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_east,hydrogen,2686,2686,11759,11759,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_east,biodiesel,2877,0,12596,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_east,catenary,0,0,0,0,0,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_east,battery,3146,9438,13773,41320,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_west,diesel,2315,0,10135,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_west,hydrogen,2855,2855,12499,12499,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_west,biodiesel,3202,0,14018,0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Shift,2025,north_west,catenary,0,0,0,0,0,0,93.09,23.27
